AD_Type,price,surface,adress,image_link
Terrains,400 000 000,600,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5632353_uploaded_image1_1763660022.jpg
Terrain,1 500 000 000,1000 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5626520_uploaded_image1_1763398458.jpg
Terrains,8 000 000,300,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5642384_uploaded_image1_1764165755.jpg
Terrain,190 000 000,NAN ,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5657594_uploaded_image1_1764943300.06.jpeg
Terrain,105 000 000,NAN ,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5657591_uploaded_image1_1764943172.36.jpeg
Terrain,3 000 000,150,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5661850_uploaded_image2_1765200333.jpeg
Terrains,2 000 000,150,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5642124_uploaded_image1_1764158497.jpg
Terrains,12 000 000,450,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5646893_uploaded_image1_1764413654.jpg
Terrains,3 500 000,150,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_5651812_uploaded_image1_1764670394.jpg
Parcelle,12 500 000,150,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5661502_uploaded_image1_1765188497.jpg
Terrain,18 000 000,150,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5661084_uploaded_image1_1765151103.jpg
Terrain,4 000 000,1515 m2,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5660817_uploaded_image1_1765139862.jpg
Terrain,110 000 000,NAN ,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5646106_uploaded_image1_1764358619.03.jpeg
Terrain,55 000 000,600,"Saly, Sénégal",https://images.coinafrique.com/thumb_5660531_uploaded_image1_1765126380.jpg
Terrain,40 000 000,612,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5660523_uploaded_image1_1765126173.jpg
Terrain,300 000 000,1100,"Saly, Sénégal",https://images.coinafrique.com/thumb_5660509_uploaded_image1_1765125825.jpg
Terrain,Prix sur demande,900 m2,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5611221_uploaded_image1_1762557003.jpg
Terrain,9 000 000,150,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5659638_uploaded_image1_1765066414.jpg
Terrain,8 000 000,150 m2,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5654726_uploaded_image1_1764800429.jpg
Terrain,11 000 000,180 m2,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5659555_uploaded_image1_1765057536.jpg
